name,category
Thomas Gysemans,Développeurs
Manon Leclercq,Développeurs
Manon Leclercq,Designer
Thomas Gysemans,Développeur web
Julien Baste,Personnages
Philippe Mathieu,Personnages
Pierre Camplin,Personnages
Tanguy Sergeant,Personnages
Elise McGovern,Personnages
Manon Leclercq,Personnages
Thomas Gysemans,Personnages
Auchan,Fabricant du 'doudou'
Bill Gates,Personnages secondaires
John Cena,Personnages secondaires
Hippolyte Damay-Glorieux,Personnages secondaires
Julien Bouin,Personnages secondaires
Matthias Roussel,Personnages secondaires
Corentin Socota,Personnages secondaires
Thomas Gomez,Personnages secondaires
Alexandre Dedon,Personnages secondaires
Alim Iskak,Personnages secondaires
Sasha Marlard,Personnages secondaires
Aymeri Tourneur,Personnages secondaires
Maxime Blot,Personnages secondaires
Jérome Wozniak,Personnages secondaires
Tom Bourdeau,Personnages secondaires
Clément Costeroste,Personnages secondaires
Léa Demory,Personnages secondaires
Antoine Banse,Personnages secondaires
Manel Boumansour,Personnages secondaires
Anthyme Fougnie,Personnages secondaires
Candice Decroix,Personnages secondaires
Ludmilla Mamasita,Personnages secondaires
Laurent Leclercq,Personnages secondaires
Killian Delahaye,Personnages secondaires
Yeliz Öztepe,Personnages secondaires
Fabien Delecroix,Professeurs
Cindy Cappelle,Professeurs
Philippe Mathieu,Professeurs
