a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,132,132,134,134,134,134,134,134,134,134,134,134,134,132,132,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,132,134,131,131,131,131,131,131,131,131,131,131,131,134,132,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,134,131,131,131,131,131,131,131,131,131,131,131,131,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,134,134,134,134,134,134,134,134,134,134,131,131,131,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,134,135,135,135,135,135,135,133,133,133,134,131,131,131,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,134,135,138,138,138,138,133,133,133,133,137,134,131,131,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,134,133,133,133,133,133,133,133,133,137,137,134,131,131,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,134,133,133,133,133,133,133,133,133,137,137,134,131,131,136,134,134,134,132,132,132,132,132,132
132,132,132,132,132,132,134,137,137,137,137,137,137,137,137,137,134,131,131,131,136,134,131,131,134,132,132,132,132,132
132,132,132,132,132,132,132,134,134,134,134,134,134,134,134,134,134,131,131,136,136,134,131,136,136,134,132,132,132,132
132,132,132,132,132,132,132,134,131,131,131,131,131,131,131,131,131,131,131,136,136,134,131,136,136,134,132,132,132,132
132,132,132,132,132,132,132,134,131,131,131,131,131,131,131,131,131,131,136,136,136,134,136,136,136,134,132,132,132,132
132,132,132,132,132,132,132,134,131,131,131,131,131,131,131,131,131,136,136,136,136,134,136,136,136,134,132,132,132,132
132,132,132,132,132,132,132,134,136,131,131,131,131,131,131,131,136,136,136,136,136,134,136,136,136,134,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,131,131,131,136,136,136,136,136,136,136,134,136,136,136,134,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,136,136,136,136,136,136,136,136,136,136,134,136,136,136,134,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,136,136,136,136,136,136,136,136,136,136,134,136,136,136,134,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,136,136,136,136,136,136,136,136,136,136,134,136,136,134,132,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,136,136,136,136,136,136,136,136,136,136,134,134,134,132,132,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,136,136,134,134,134,136,136,136,136,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,136,134,132,132,134,136,136,136,136,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,136,134,132,132,134,136,136,136,136,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,134,136,136,136,136,134,132,132,134,136,136,136,136,136,134,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,132,134,134,134,134,132,132,132,132,134,134,134,134,134,132,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
