a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19
96,96,96,96,96,96,95,144,95,95,95,95,95,95,96,96,96,96,96,96
96,92,92,92,92,93,92,92,92,92,92,93,93,93,92,92,92,92,92,96
96,92,92,92,92,92,92,92,94,94,94,94,92,92,92,92,92,92,92,96
96,92,92,92,92,92,92,93,92,92,92,92,92,92,92,92,92,92,92,96
96,92,92,93,92,92,92,92,92,92,92,92,92,92,93,92,92,93,93,96
102,92,92,92,94,94,94,94,92,92,92,92,94,94,94,94,92,92,92,96
96,93,92,92,96,97,96,94,92,92,92,92,94,96,97,96,92,92,92,96
96,93,92,92,92,92,92,92,92,93,92,92,92,92,92,92,92,92,92,96
96,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,92,92,96
96,92,92,92,94,94,94,94,92,93,92,92,94,94,94,94,92,92,92,96
96,92,92,92,96,97,96,94,93,93,93,93,94,96,92,96,92,92,92,96
96,93,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,96
96,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96
96,92,92,92,94,94,94,94,92,92,92,92,94,94,94,94,92,92,92,96
103,92,92,92,96,97,96,94,92,93,92,92,94,96,97,96,92,92,92,96
96,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96
96,92,92,92,92,92,92,92,92,92,92,92,93,92,92,92,93,92,92,96
96,92,92,92,93,92,92,92,92,92,92,92,92,92,92,92,92,92,92,96
96,93,92,92,92,92,92,92,93,92,92,92,92,92,92,92,92,92,93,96
96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
