a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,0,39,37,37,37,37,37,37,34,34,34,39,0,0
115,35,35,35,35,35,35,35,35,35,35,35,36,35,35
35,36,38,35,35,35,35,35,35,36,35,35,35,35,35
35,39,37,37,34,34,35,35,35,37,37,34,34,39,35
35,35,35,35,35,35,39,35,39,35,35,35,35,38,35
35,39,37,37,34,35,35,36,35,35,147,34,34,39,35
35,35,35,35,35,39,35,35,35,39,35,35,35,35,35
35,36,35,35,35,35,35,35,36,35,35,38,38,35,35
35,35,35,35,38,35,35,35,38,35,36,38,35,35,35
0,0,0,0,0,0,38,35,35,0,0,0,0,0,0
0,35,35,35,35,35,0,35,0,35,35,35,35,35,0
38,38,38,38,36,38,38,35,35,38,38,38,35,35,35
35,0,0,0,0,0,35,35,35,0,0,0,0,0,36
35,35,35,35,35,38,35,129,35,35,35,38,38,35,35
35,0,0,0,0,0,35,35,35,0,0,0,0,0,35
