a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
3,3,1,1,1,1,2,108,2,1,1,1,2,2,3
3,2,2,2,2,1,2,3,2,1,1,1,1,1,3
3,2,2,3,3,1,2,3,2,1,2,1,1,1,3
3,1,1,1,1,1,2,3,2,1,1,2,1,1,2
1,2,1,1,1,1,2,3,2,1,1,1,2,1,1
1,1,1,2,1,1,2,3,2,1,1,1,1,2,1
2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
107,3,3,3,3,3,3,3,3,3,3,3,3,3,109
2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1,2,1,3,3,3,2,3,2,2,1,1,1,1,1
1,2,3,3,3,3,2,3,2,1,2,3,3,2,1
1,1,2,1,1,1,2,3,2,1,1,3,3,1,1
1,1,2,2,2,2,2,3,2,2,2,3,2,1,1
3,3,3,2,1,1,2,3,2,1,3,1,1,1,3
1,1,3,1,1,1,2,110,2,1,1,1,1,1,1
